restaurant_name,address,phone_number,website,hygiene_rating,about,cuisines,features,special_diets,tripadvisor_url,tripadvisor_price_range,tripadvisor_food_rating,tripadvisor_overall_rating,tripadvisor_value_rating,google_price_level,google_rating,google_total_ratings,yelp_price,yelp_rating,yelp_review_count
Indian Moment,"44 Battersea Rise, London SW11 1EE, UK",020 7223 6575,https://www.indianmoment.co.uk/,5,"","Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Drinks, Late Night",https://www.tripadvisor.com/Restaurant_Review-g186338-d804653-Reviews-Indian_Moment-London_England.html,"",4.5,4.5,4.5,2,4.2,213,££,4,10
Taste Of Nawab,"97 Colney Hatch Ln, London N10 1LR, UK",020 8883 6429,http://www.tasteofnawab.com/,3,"","Indian, Healthy","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d813149-Reviews-Taste_Of_Nawab-London_England.html,?15 - ?20,5.0,5.0,5.0,2,4.6,571,"",5,3
Awesome Thai #Finchley,"826 High Rd, London N12 9RA, UK",020 8492 8477,http://www.awesomethai.co.uk/,"","","Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",https://www.tripadvisor.com/Restaurant_Review-g186338-d21498814-Reviews-Awesome_Thai_Finchley-London_England.html,"",5.0,5.0,5.0,no price level,4.8,192,££,5,2
Bruce Burgers,"93 Bruce Grove, London N17 6UZ, UK",020 8411 0087,no website,5,"",Fast Food,"Vegetarian Friendly, Gluten Free Options, Vegan Options","Lunch, Dinner",https://www.tripadvisor.com/Restaurant_Review-g186338-d12923460-Reviews-Bruce_Burgers-London_England.html,"",5.0,5.0,5.0,no price level,4.6,301,"","",""
Tania's of Hampstead,"12 Heath St, London NW3 6TE, UK",07964 323723,https://www.instagram.com/taniasofhampstead/?hl=en,3,"","Lebanese, Cafe, Deli, Middle Eastern","Vegetarian Friendly, Vegan Options","Breakfast, Brunch, Lunch",https://www.tripadvisor.com/Restaurant_Review-g186338-d7337074-Reviews-Tania_s_of_Hampstead-London_England.html,"",5.0,5.0,5.0,no price level,4.9,37,£,5,2
The Wine Place Covent Garden,"33, The Market Bldg, Piazza WC2E 8RE, UK",020 7240 7887,http://www.italianwines.com/,"","","Italian, Wine Bar, Mediterranean, European, Sicilian, Southern-Italian","",Vegetarian Friendly,https://www.tripadvisor.com/Restaurant_Review-g186338-d15828579-Reviews-The_Wine_Place_Covent_Garden-London_England.html,?5 - ?12,4.5,5.0,4.5,2,4.3,264,"",3,5
Cafe Parisienne,"225 Lavender Hill, London SW11 1JR, UK",020 7924 5523,no website,"","","Cafe, European, British, International","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d6171524-Reviews-Cafe_Parisienne-London_England.html,?4 - ?11,4.5,5.0,4.5,1,4.6,272,"","",""
The Rajdoot,"49 Paddington St, London W1U 4HW, UK",020 7486 2055,https://www.therajdootindian.com/,4,"","Indian, Asian, Balti","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1044584-Reviews-The_Rajdoot-London_England.html,?20 - ?30,4.5,4.5,4.5,2,4.4,858,££,5,94
The Rajdoot Hampstead,"104 Fleet Rd, London NW3 2QX, UK",020 7485 1329,https://www.rajdootnw3.co.uk/,"","","Indian, Asian, Grill","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d15614126-Reviews-The_Rajdoot_Hampstead-London_England.html,?15 - ?40,5.0,5.0,4.5,2,4.8,426,"","",""
Launceston Place,"Launceston Pl, London, UK",no phone number,no website,"","Nestled in the quaint residential streets of Kensington, Launceston Place is an award winning hidden gem. The Head Chef Ben Murphy, was named Chef to Watch 2016 by The Good Food Guide and took home th","European, British","Free Wifi, Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards, T","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d719675-Reviews-Launceston_Place-London_England.html,?33 - ?95,4.5,4.5,4.5,no price level,no rating,no total ratings,"","",""
Yuu Kitchen,"29 Commercial St, London E1 6NE, UK",020 7377 0411,http://www.yuukitchen.com/,5,"","Taiwanese, Japanese, Asian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d11717778-Reviews-Yuu_Kitchen-London_England.html,?18 - ?30,5.0,4.5,4.5,3,4.5,825,"","",""
L'Angolo Bianco,"49 Crawford St, London W1H 1HA, UK",020 7724 5888,no website,"","","Italian, European, Cafe","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Breakfast",https://www.tripadvisor.com/Restaurant_Review-g186338-d8566994-Reviews-L_Angolo_Bianco-London_England.html,"",5.0,5.0,5.0,no price level,4.7,148,"","",""
Paladar,"4-5 London Rd, London SE1 6JZ, UK",020 7186 5555,http://paladarlondon.com/,4,"Paladar is an award-winning restaurant and wine shop showcasing the best of Latin American food, wines, spirits, cocktails, coffee, music and contemporary art. The creative cuisine served as sharing p","South American, Latin, Contemporary, Fusion","Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Accepts American Express, Accepts","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13110566-Reviews-Paladar-London_England.html,?18 - ?36,5.0,5.0,4.5,2,4.7,761,"","",""
Dobar,"324a Green Lanes, Finsbury Park, London N4 1BX, UK",020 7686 3257,http://www.dobar.co.uk/,4,"","Cafe, European, British","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d15211822-Reviews-Dobar-London_England.html,?6 - ?17,5.0,5.0,5.0,no price level,4.7,678,"",5,3
Eastern Eye Balti House,"63A Brick Ln, London E1 6QL, UK",020 7247 8643,http://www.easterneyebricklane.co.uk/,5,"Established in 1992, Eastern Eye Balti House is one of the oldest curry house's on the famous Brick Lane. Family owned and boast a number of high profile clientele's. Authentic curry and recently won","Indian, Asian, Balti, Bangladeshi","Delivery, Full Bar, Takeout, Reservations, Seating, Street Parking, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Table Se","Vegetarian Friendly, Vegan Options, Halal",https://www.tripadvisor.com/Restaurant_Review-g186338-d1735578-Reviews-Eastern_Eye_Balti_House-London_England.html,?12 - ?36,4.0,4.5,4.0,2,4.3,680,"","",""
Fugitive Motel,"199 Cambridge Heath Rd, London E2 0EL, UK",020 3974 4455,https://fugitivemotel.bar/,5,"","Bar, Pizza, Brew Pub, British","","Vegetarian Friendly, Vegan Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d19095785-Reviews-Fugitive_Motel-London_England.html,?6 - ?15,4.5,5.0,4.5,2,4.4,327,"","",""
Yum Sa,"3, 88 Plaza Gdns, Upper Richmond Rd, London SW15 2DT, UK",020 3371 9111,http://www.yum-sa.com/,5,"Awarded the Best Modern Asian restaurant in London, Yum Sa features Modern Asian cuisine influenced with the flavours of Thailand. Our mission is to connect people to simple great tasting food with a","Asian, Thai, Fusion","Delivery, Takeout, Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Street P","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13006784-Reviews-Yum_Sa-London_England.html,?7 - ?53,4.5,4.5,4.5,2,4.5,644,"","",""
Cafe de Provence,"14 Drury Ln, London WC2B 5RB, UK",020 7497 2757,https://cafedeprovence.business.site/?utm_source=gmb&utm_medium=referral,3,"","Cafe, European, British, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch",https://www.tripadvisor.com/Restaurant_Review-g186338-d10371250-Reviews-Cafe_de_Provence-London_England.html,"",5.0,5.0,5.0,1,4.8,230,"","",""
Bebs Kitchen,"126 Acre Ln, London SW2 5RJ, UK",020 3659 8915,https://bebskitchen.co.uk/order-now,5,"","Indian, Healthy","","Vegetarian Friendly, Vegan Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d17594014-Reviews-Bebs_Kitchen-London_England.html,?12 - ?18,5.0,5.0,5.0,no price level,4.9,212,"","",""
Almas Restaurant,"83 Abbey Rd, London NW8 0AG, UK",020 3859 9575,http://www.almasrestaurant.co.uk/,"","","Persian, Healthy","","Vegetarian Friendly, Vegan Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d23103073-Reviews-Almas_Restaurant-London_England.html,?6 - ?22,5.0,5.0,5.0,no price level,4.9,734,"","",""
The Hampshire,"225-227 King St, London W6 9JT, UK",020 8748 3391,http://www.the-hampshire.com/,3,"",Indian,"","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d2624871-Reviews-The_Hampshire-London_England.html,?12 - ?36,5.0,5.0,5.0,2,4.1,608,"","",""
Brick Lane Brasserie,"67 Brick Ln, London E1 6QL, UK",020 7377 8072,https://www.bricklanebrasserie.com/,5,"","Indian, Asian, Balti, Bangladeshi","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d2256061-Reviews-Brick_Lane_Brasserie-London_England.html,?10 - ?18,4.0,4.0,4.0,2,4,464,"","",""
Iznik,"19 Highbury Park, London N5 1QJ, UK",020 7354 5697,http://www.iznik.co.uk/,4,"","Mediterranean, Turkish, Healthy, Middle Eastern","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d719378-Reviews-Iznik-London_England.html,?12 - ?28,4.5,4.5,4.5,1,4.6,293,"","",""
AW Restaurant,"37 Conduit St, London W1S 2YF, UK",020 7629 7755,https://www.awwestbury.com/,"","","European, British","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d2433450-Reviews-AW_Restaurant-London_England.html,?72 - ?108,4.5,4.5,4.5,4,4.6,171,"","",""
Bar 61 Restaurant,"61A Streatham Hill, London SW2 4TX, UK",020 8671 0444,http://www.bar61.com/,"",Opening hours For food Monday until Sunday 12:30 to 23:00 Opening hours for drink Monday until Sunday 11:00 to 01:00,"Mediterranean, European, Spanish","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1316206-Reviews-Bar_61_Restaurant-London_England.html,?17 - ?32,4.5,5.0,4.5,2,4.6,546,"","",""
Figo Leyton,"264-268 High Rd Leyton, London E10 5PW, UK",020 8262 3128,http://figorestaurant.co.uk/,"","","Italian, Central-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Breakfast",https://www.tripadvisor.com/Restaurant_Review-g186338-d23451353-Reviews-Figo_Leyton-London_England.html,"",4.5,5.0,4.0,no price level,4.3,238,"","",""
215 Hackney,"215 Stoke Newington High St, London N16 0LH, UK",020 7254 5199,https://www.215hackney.co.uk/,"","","Middle Eastern, Cafe, Healthy","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d19067627-Reviews-215_Hackney-London_England.html,?6 - ?14,5.0,5.0,5.0,no price level,4.8,238,"","",""
Amber Restaurant,"21 Piazza Walk, London E1 8QH, UK",020 7702 0700,http://thisisamber.co.uk/,"","ItÃÂ¢ÃÂÃÂs about the journey, not the destination. ThatÃÂ¢ÃÂÃÂs why we took our name from the Amber Road trade route. It reflects everything that makes us special ÃÂ¢ÃÂÃÂ from our easte","Mediterranean, European, Healthy, Middle Eastern","Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Gift Cards Available","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13444942-Reviews-Amber_Restaurant-London_England.html,?8 - ?26,5.0,5.0,4.5,2,4.7,1042,"","",""
Indian Lounge,"343 Grays Inn Rd, London WC1X 8PX, UK",020 7837 8398,http://www.indianloungelondon.co.uk/,4,Indian Lounge is an Indian restaurant situated in the heart of Kings Cross in central london. Our Indian restaurant is a mixture of modern and traditional. It perfectly combines modern decor and atmos,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service","Lunch, Dinner, Brunch, Late Night",https://www.tripadvisor.com/Restaurant_Review-g186338-d3206568-Reviews-Indian_Lounge-London_England.html,"",4.0,4.5,4.0,2,4.4,3518,"","",""
The Chelsea Corner,"451 Fulham Rd., London SW10 9UZ, UK",020 3055 0088,http://www.thechelseacorner.com/,5,"","Italian, Pizza, Mediterranean","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d15021904-Reviews-The_Chelsea_Corner-London_England.html,?6 - ?31,5.0,5.0,5.0,no price level,4.8,250,"","",""
Oliveira Kitchen,"80 Paul St, London EC2A 4NE, UK",020 7729 0481,http://www.oliveira.kitchen/,"",Modern living inspired cuisine. Organic vegetarian restaurant serving international dishes using local produce in support of local British organic farmers.,"Healthy, French, International, European","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Digital Payments, Non-smoking restaurants, Gift Cards Availa","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13915112-Reviews-Oliveira_Kitchen-London_England.html,?19 - ?30,5.0,5.0,5.0,no price level,4.8,161,"","",""
The Banc,"261-263 W Green Rd, London N15 3BH, UK",020 8888 8898,http://www.thebanc.co.uk/,5,"","Steakhouse, Mediterranean, Grill","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d3419712-Reviews-The_Banc-London_England.html,?8 - ?20,4.5,4.5,4.5,2,4.3,2356,"","",""
The Jasmine by Spice Nouv-Oh!,"331 Broadway, Bexleyheath DA6 8DT, UK",020 8616 0880,http://www.spicenouvoh.co.uk/,4,"The Jasmine by Spice Nouv-Oh! formerly located on Shooters Hill is a Indo-Fusion restaurant and takeaway now located on the broadway. We specialise in healthy, fresh and fusion cooking of traditional","Halal, Vegetarian Friendly, Vegan Options, Gluten Free Options","Delivery, Takeout, Serves Alcohol, Free Wifi, Reservations, Seating, Wheelchair Accessible, Full Bar, Table Service, Highchairs Available",Dinner,https://www.tripadvisor.com/Restaurant_Review-g186338-d6885893-Reviews-The_Jasmine_by_Spice_Nouv_Oh-London_England.html,"",5.0,5.0,4.5,2,4.8,304,"","",""
Zeret Kitchen,"216-218 Camberwell Rd, London SE5 0ED, UK",020 7701 8587,http://www.zeretkitchen.co.uk/,5,"","African, Ethiopian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",https://www.tripadvisor.com/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html,"",5.0,5.0,5.0,2,4.7,799,"","",""
Osteria Romana,"3-4 Park Cl, London SW1X 7PQ, UK",020 7584 5819,http://osteriaromana.co.uk/,5,"","Italian, Mediterranean, European, Romana, Lazio, Central-Italian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13149344-Reviews-Osteria_Romana-London_England.html,?31 - ?48,4.5,4.5,4.5,3,4.5,397,"","",""
Terra Rossa,"139 Upper St, London N1 1QP, UK",020 7226 2244,http://www.terrarossa-restaurant.co.uk/,3,"Flavours of Puglia -Independent Italian Restaurant with homemade Pasta & stone baked Pizza. Terra Rossa in Islington is an Italian restaurant proudly serving up gorgeous cuisine from the sun-kissed, f","Italian, Pizza, Mediterranean, Southern-Italian","Delivery, Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Free off-street parking, Wine and Beer, Gift Cards Available","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d15345285-Reviews-Terra_Rossa-London_England.html,?24 - ?54,5.0,5.0,4.5,no price level,4.5,414,"","",""
Bengal Village - Best of Brick Lane,"75 Brick Ln, London E1 6QL, UK",020 7366 4868,http://www.bengalvillage.com/,"","Bengal Village - Best of Brick Lane is a family-run restaurant in the heart of the iconic Brick Lane which is also known as the Curry Mile of London. Established over two decades ago, arguably one of","Indian, Asian, Balti, Bangladeshi, Grill","Delivery, Takeout, Seating, Highchairs Available, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards, Table Service, Street Parking, Win","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1964861-Reviews-Bengal_Village_Best_of_Brick_Lane-London_England.html,?10 - ?30,4.0,4.5,4.0,2,4.5,1124,"","",""
Richard's Kitchen,"16A Tooting Bec Rd, London SW17 8BD, UK",020 8767 0238,http://richards-kitchen.com/,5,"","Cafe, British, Fusion, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch",https://www.tripadvisor.com/Restaurant_Review-g186338-d13325769-Reviews-Richard_s_Kitchen-London_England.html,"",5.0,5.0,5.0,2,4.9,217,"","",""
KataKata,"132A Brixton Hill, London SW2 1RS, UK",020 3490 1160,https://www.katakatabrixton.com/,3,"","African, Cafe, Healthy","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d8093529-Reviews-KataKata-London_England.html,?4 - ?8,5.0,5.0,5.0,1,4.6,342,"","",""
Flour To The People!,"573 Battersea Park Rd, London SW11 3BJ, UK",020 7228 5672,http://www.flour2people.co.uk/,5,"",Pizza,"","Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d7995020-Reviews-Flour_To_The_People-London_England.html,?8 - ?14,4.5,5.0,4.5,2,4.7,599,"","",""
TOKii,"50 Great Cumberland Pl, Marble Arch, London W1H 7FD, UK",020 7724 0486,http://tokii.co.uk/,"","","Japanese, Sushi, Asian, Healthy, Japanese Fusion","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d19509990-Reviews-TOKii-London_England.html,?5 - ?55,5.0,5.0,4.5,no price level,4.3,65,"","",""
Oi Vita Pizzeria,"67 Newington Green Rd, London N1 4QU, UK",020 3302 8700,https://oivita.london/,"","","Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d11961993-Reviews-Oi_Vita_Pizzeria-London_England.html,?4 - ?15,5.0,5.0,4.5,2,4.8,657,"","",""
The Prince of Greenwich Pub,"72 Royal Hill, London SE10 8RT, UK",no phone number,https://www.theprinceofgreenwichpub.com/,"","","Mediterranean, Italian, Bar, Pizza, Pub, Sicilian, Southern-Italian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d7159326-Reviews-The_Prince_of_Greenwich_Pub-London_England.html,?8 - ?22,4.5,5.0,5.0,2,4.8,840,"","",""
E Pellicci,"332 Bethnal Green Rd, London E2 0AG, UK",020 7739 4873,http://epellicci.co.uk/,5,"","Italian, Cafe, British","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d731643-Reviews-E_Pellicci-London_England.html,?6 - ?17,4.5,5.0,4.5,1,4.8,1464,"","",""
Fishcotheque,"79A Waterloo Rd, London SE1 8UD, UK",020 7803 9892,https://thefishcotheque.com/,4,"","Seafood, Fast Food, British","Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g186338-d1316331-Reviews-Fishcotheque-London_England.html,"",4.5,4.5,4.5,1,4.4,1470,"","",""
Fishcotheque,"79A Waterloo Rd, London SE1 8UD, UK",020 7803 9892,https://thefishcotheque.com/,4,"","Seafood, Fast Food, British","Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g186338-d1316331-Reviews-Fishcotheque-London_England.html,"",4.5,4.5,4.5,1,4.4,1470,"","",""
Osteria Napoletana,"186 Kensington Park Road ES, London W11 2ES, UK",020 7221 0154,https://osterianapoletana.co.uk/,5,"Osteria Napoletana offers traditional Neapolitan and Campanian dishes, with quality ingredients, everything surrounded by a chic atmosphere and at the same time genuine.","Italian, Seafood, Mediterranean, Neapolitan, Campania, Southern-Italian","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Full Bar, Digital Payments","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d17383940-Reviews-Osteria_Napoletana-London_England.html,?15 - ?30,4.5,5.0,4.5,no price level,4.5,187,"","",""
