,rating,n_reviews,f_rating,s_rating,v_rating,about,price_range,s_diets,cuisines,features,Name,URL,name_letter
29,5.0,118 ,5.0,5.0,4.5,,?6 - ?24,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lebanese, Mediterranean, Middle Eastern",,O Gourmet Libanais,https://www.tripadvisor.com/Restaurant_Review-g186338-d12922934-Reviews-O_Gourmet_Libanais-London_England.html,ogourmetlibanais
30,5.0,166 ,5.0,5.0,5.0,,?7 - ?20,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, International",,Latitude Wimbledon,https://www.tripadvisor.com/Restaurant_Review-g186338-d13474320-Reviews-Latitude_Wimbledon-London_England.html,latitudewimbledon
33,5.0,120 ,4.5,4.5,4.5,,?6 - ?15,"Vegetarian Friendly, Vegan Options","Bar, Pizza, Brew Pub, British",,Fugitive Motel,https://www.tripadvisor.com/Restaurant_Review-g186338-d19095785-Reviews-Fugitive_Motel-London_England.html,fugitivemotel
34,5.0,1051 ,4.5,5.0,4.5,,,"Lunch, Dinner, Brunch","Irish, Fast Food, British, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options",The Prince of Wales,https://www.tripadvisor.com/Restaurant_Review-g186338-d2074022-Reviews-The_Prince_of_Wales-London_England.html,theprinceofwales
35,4.5,663 ,4.5,4.5,4.5,"Awarded the Best Modern Asian restaurant in London, Yum Sa features Modern Asian cuisine influenced with the flavours of Thailand. Our mission is to connect people to simple great tasting food with a ",?7 - ?53,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Asian, Thai, Fusion","Delivery, Takeout, Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Street P",Yum Sa,https://www.tripadvisor.com/Restaurant_Review-g186338-d13006784-Reviews-Yum_Sa-London_England.html,yumsa
36,5.0,217 ,5.0,5.0,5.0,,?5 - ?15,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, European, British, Healthy",,Wild Thyme,https://www.tripadvisor.com/Restaurant_Review-g186338-d12569115-Reviews-Wild_Thyme-London_England.html,wildthyme
37,5.0,348 ,5.0,5.0,5.0,,,"Breakfast, Lunch, Brunch","Cafe, European, British, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",Cafe de Provence,https://www.tripadvisor.com/Restaurant_Review-g186338-d10371250-Reviews-Cafe_de_Provence-London_England.html,cafedeprovence
38,5.0,77 ,5.0,5.0,5.0,,?12 - ?18,"Vegetarian Friendly, Vegan Options","Indian, Healthy",,Bebs Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d17594014-Reviews-Bebs_Kitchen-London_England.html,bebskitchen
39,5.0,91 ,5.0,5.0,5.0,,?6 - ?22,"Vegetarian Friendly, Vegan Options","Persian, Healthy",,Almas Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d23103073-Reviews-Almas_Restaurant-London_England.html,almasrestaurant
40,5.0,116 ,5.0,5.0,5.0,,?12 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Indian,,The Hampshire,https://www.tripadvisor.com/Restaurant_Review-g186338-d2624871-Reviews-The_Hampshire-London_England.html,thehampshire
41,4.0,963 ,4.0,4.0,4.0,,?10 - ?18,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Balti, Bangladeshi",,Brick Lane Brasserie,https://www.tripadvisor.com/Restaurant_Review-g186338-d2256061-Reviews-Brick_Lane_Brasserie-London_England.html,bricklanebrasserie
42,4.5,364 ,4.5,4.5,4.5,,?12 - ?28,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Mediterranean, Turkish, Healthy, Middle Eastern",,Iznik,https://www.tripadvisor.com/Restaurant_Review-g186338-d719378-Reviews-Iznik-London_England.html,iznik
43,5.0,240 ,5.0,5.0,5.0,,?2 - ?10,"Vegetarian Friendly, Vegan Options, Gluten Free Options",British,,The Lounge Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d10519837-Reviews-The_Lounge_Cafe-London_England.html,theloungecafe
44,4.5,387 ,4.5,4.5,4.5,,,"Lunch, Dinner, Late Night, Drinks","Italian, Pizza, Mediterranean, European, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",Cafe Amisha,https://www.tripadvisor.com/Restaurant_Review-g186338-d2009271-Reviews-Cafe_Amisha-London_England.html,cafeamisha
45,5.0,95 ,5.0,5.0,5.0,"The team at 28ÃÂÃÂ°-50ÃÂÃÂ° is delighted to bring the magic of the groupÃÂ¢ÃÂÃÂs esteemed French and modern European cuisine to South Kensington. With simple, seasonal dishes, an award-winn",?31 - ?48,"Vegetarian Friendly, Vegan Options, Gluten Free Options","French, European, Wine Bar, Central European","Reservations, Seating, Serves Alcohol, Table Service",28-50 Wine Workshop & Kitchen South Kensington,https://www.tripadvisor.com/Restaurant_Review-g186338-d23304881-Reviews-28_50_Wine_Workshop_Kitchen_South_Kensington-London_England.html,28-50wineworkshop&kitchensouthkensington
47,5.0,262 ,5.0,5.0,4.5,,?54 - ?120,Gluten Free Options,"Seafood, British",,London Shell Co. Aboard The Prince Regent,https://www.tripadvisor.com/Restaurant_Review-g186338-d11838878-Reviews-London_Shell_Co_Aboard_The_Prince_Regent-London_England.html,londonshellco.aboardtheprinceregent
48,4.5,1276 ,5.0,4.5,4.5,,?18 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Taiwanese, Japanese, Asian",,Yuu Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d11717778-Reviews-Yuu_Kitchen-London_England.html,yuukitchen
49,5.0,192 ,5.0,5.0,5.0,,,"Lunch, Breakfast","Italian, European, Cafe","Vegetarian Friendly, Vegan Options, Gluten Free Options",L'Angolo Bianco,https://www.tripadvisor.com/Restaurant_Review-g186338-d8566994-Reviews-L_Angolo_Bianco-London_England.html,langolobianco
50,5.0,2531 ,4.5,5.0,4.5,Opening hours For food Monday until Sunday 12:30 to 23:00 Opening hours for drink Monday until Sunday 11:00 to 01:00,?17 - ?32,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, European, Spanish","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Bar 61 Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1316206-Reviews-Bar_61_Restaurant-London_England.html,bar61restaurant
51,5.0,167 ,4.5,4.5,4.0,,,"Lunch, Dinner, Breakfast","Italian, Central-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",Figo Leyton,https://www.tripadvisor.com/Restaurant_Review-g186338-d23451353-Reviews-Figo_Leyton-London_England.html,figoleyton
52,5.0,114 ,5.0,5.0,5.0,,?6 - ?14,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Middle Eastern, Cafe, Healthy",,215 Hackney,https://www.tripadvisor.com/Restaurant_Review-g186338-d19067627-Reviews-215_Hackney-London_England.html,215hackney
53,5.0,2019 ,4.5,5.0,4.5,,,"Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service","Seafood, British","Lunch, Dinner",The Golden Chippy,https://www.tripadvisor.com/Restaurant_Review-g186338-d5244301-Reviews-The_Golden_Chippy-London_England.html,thegoldenchippy
54,5.0,355 ,4.5,5.0,4.5,We are the offspring of Hiba Express and serve the same delicious homecooked Middle Eastern food with our Palestinian roots infused. From tasty grills to vibrant vegan tastes - there is something for ,?6 - ?18,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lebanese, Mediterranean, Street Food, Middle Eastern","Delivery, Takeout, Reservations, Seating, Table Service",Hiba Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d12069449-Reviews-Hiba_Street-London_England.html,hibastreet
55,5.0,249 ,5.0,5.0,4.5,"ItÃÂ¢ÃÂÃÂs about the journey, not the destination. ThatÃÂ¢ÃÂÃÂs why we took our name from the Amber Road trade route. It reflects everything that makes us special ÃÂ¢ÃÂÃÂ from our easte",?8 - ?26,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, European, Healthy, Middle Eastern","Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Gift Cards Available",Amber Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d13444942-Reviews-Amber_Restaurant-London_England.html,amberrestaurant
56,4.5,3162 ,4.0,4.0,4.0,Indian Lounge is an Indian restaurant situated in the heart of Kings Cross in central london. Our Indian restaurant is a mixture of modern and traditional. It perfectly combines modern decor and atmos,,"Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Indian Lounge,https://www.tripadvisor.com/Restaurant_Review-g186338-d3206568-Reviews-Indian_Lounge-London_England.html,indianlounge
57,5.0,121 ,5.0,5.0,4.5,,,"Lunch, Dinner, Brunch, Breakfast","Bar, British, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options",The Hayden,https://www.tripadvisor.com/Restaurant_Review-g186338-d15529137-Reviews-The_Hayden-London_England.html,thehayden
59,5.0,238 ,5.0,5.0,5.0,,?6 - ?31,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean",,The Chelsea Corner,https://www.tripadvisor.com/Restaurant_Review-g186338-d15021904-Reviews-The_Chelsea_Corner-London_England.html,thechelseacorner
60,5.0,196 ,5.0,5.0,5.0,Modern living inspired cuisine. Organic vegetarian restaurant serving international dishes using local produce in support of local British organic farmers.,?19 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Healthy, French, International, European","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Digital Payments, Non-smoking restaurants, Gift Cards Availa",Oliveira Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d13915112-Reviews-Oliveira_Kitchen-London_England.html,oliveirakitchen
61,4.5,1928 ,4.5,4.5,4.5,,?8 - ?20,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Steakhouse, Mediterranean, Grill",,The Banc,https://www.tripadvisor.com/Restaurant_Review-g186338-d3419712-Reviews-The_Banc-London_England.html,thebanc
62,5.0,260 ,5.0,4.5,4.5,"The Jasmine by Spice Nouv-Oh! formerly located on Shooters Hill is a Indo-Fusion restaurant and takeaway now located on the broadway. We specialise in healthy, fresh and fusion cooking of traditional ",,Dinner,"Halal, Vegetarian Friendly, Vegan Options, Gluten Free Options","Delivery, Takeout, Serves Alcohol, Free Wifi, Reservations, Seating, Wheelchair Accessible, Full Bar, Table Service, Highchairs Available",The Jasmine by Spice Nouv-Oh!,https://www.tripadvisor.com/Restaurant_Review-g186338-d6885893-Reviews-The_Jasmine_by_Spice_Nouv_Oh-London_England.html,thejasminebyspicenouv-oh!
63,5.0,114 ,5.0,4.5,4.5,,?5 - ?10,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Japanese, Seafood, Sushi, Asian",,Sanjugo London,https://www.tripadvisor.com/Restaurant_Review-g186338-d11663967-Reviews-Sanjugo_London-London_England.html,sanjugolondon
64,4.5,569 ,4.5,4.5,4.0,"A traditional curry house in London's East End, serving tantalising favourites such as Chicken Rezala & Lamb Lemongrass, there are a plethora of dishes to choose from as well as a competitively priced",?10 - ?40,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Balti, Bangladeshi","Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service",Standard Balti House - Bricklanes Finest,https://www.tripadvisor.com/Restaurant_Review-g186338-d720607-Reviews-Standard_Balti_House_Bricklanes_Finest-London_England.html,standardbaltihouse-bricklanesfinest
65,5.0,649 ,5.0,5.0,5.0,,,"Lunch, Dinner, Late Night","African, Ethiopian","Vegetarian Friendly, Vegan Options, Gluten Free Options",Zeret Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html,zeretkitchen
66,4.5,1494 ,4.5,4.5,4.0,,?28 - ?46,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Balti, Bangladeshi, Fusion",,Tower Tandoori,https://www.tripadvisor.com/Restaurant_Review-g186338-d815603-Reviews-Tower_Tandoori-London_England.html,towertandoori
67,5.0,260 ,4.5,5.0,4.5,,,Dinner,"Indian, Asian, Balti, Bangladeshi","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",The Spice Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d2507902-Reviews-The_Spice_Indian_Restaurant-London_England.html,thespiceindianrestaurant
68,5.0,231 ,5.0,5.0,4.5,"Flavours of Puglia -Independent Italian Restaurant with homemade Pasta & stone baked Pizza. Terra Rossa in Islington is an Italian restaurant proudly serving up gorgeous cuisine from the sun-kissed, f",?24 - ?54,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean, Southern-Italian","Delivery, Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Free off-street parking, Wine and Beer, Gift Cards Available",Terra Rossa,https://www.tripadvisor.com/Restaurant_Review-g186338-d15345285-Reviews-Terra_Rossa-London_England.html,terrarossa
69,4.5,1511 ,4.0,4.0,4.0,"Bengal Village - Best of Brick Lane is a family-run restaurant in the heart of the iconic Brick Lane which is also known as the Curry Mile of London. Established over two decades ago, arguably one of ",?10 - ?30,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Balti, Bangladeshi, Grill","Delivery, Takeout, Seating, Highchairs Available, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards, Table Service, Street Parking, Win",Bengal Village - Best of Brick Lane,https://www.tripadvisor.com/Restaurant_Review-g186338-d1964861-Reviews-Bengal_Village_Best_of_Brick_Lane-London_England.html,bengalvillage-bestofbricklane
70,5.0,111 ,5.0,5.0,5.0,,,"Breakfast, Lunch, Dinner, Brunch","Cafe, British, Fusion, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",Richard's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d13325769-Reviews-Richard_s_Kitchen-London_England.html,richardskitchen
72,5.0,204 ,5.0,4.5,5.0,,?4 - ?8,"Vegetarian Friendly, Vegan Options, Gluten Free Options","African, Cafe, Healthy",,KataKata,https://www.tripadvisor.com/Restaurant_Review-g186338-d8093529-Reviews-KataKata-London_England.html,katakata
73,5.0,321 ,4.5,4.5,4.5,,?8 - ?14,"Vegan Options, Gluten Free Options",Pizza,,Flour To The People!,https://www.tripadvisor.com/Restaurant_Review-g186338-d7995020-Reviews-Flour_To_The_People-London_England.html,flourtothepeople!
74,5.0,650 ,5.0,4.5,4.5,,,Dinner,Indian,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",Sitara,https://www.tripadvisor.com/Restaurant_Review-g186338-d2244333-Reviews-Sitara-London_England.html,sitara
75,5.0,111 ,5.0,5.0,4.5,,?5 - ?55,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Japanese, Sushi, Asian, Healthy, Japanese Fusion",,TOKii,https://www.tripadvisor.com/Restaurant_Review-g186338-d19509990-Reviews-TOKii-London_England.html,tokii
76,5.0,1026 ,4.5,5.0,4.5,,?20 - ?40,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British, Contemporary",,The Clink Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d6635485-Reviews-The_Clink_Restaurant-London_England.html,theclinkrestaurant
